Chinese	Nushu	Book Reference Pg		Our label 	Key		
文化多样性	𛆂𛅽𛈁𛈍𛉾	0		2	0 - neg 1- neu 2 - pos		2-176 alice 
春游芳草夏赏绿荷池	𛊌𛊢𛆠𛉤𛈣𛊤𛆽𛇮𛆑	6, 158		2			177-351 youmi
秋饮黄花酒冬吟白雪诗	𛉩𛋡𛊨𛈣𛊟𛊚𛆰𛇪𛊗𛆹	6, 158		2			352-426 alice
危楼高百尺手可摘星辰	𛊄𛈰𛋂𛇫𛅼𛆞𛆄𛋓𛉾𛋙	6, 166		2			427 - the end youmi
不能高声语恐惊天上人	𛆳𛈷𛋂𛉂𛆱𛊩𛇆𛆤𛆈𛅳	6, 166		2			
来到清华两月多安身住在七号楼	𛇤𛇼𛊭𛇳𛅱𛇃𛈁𛊃𛈛𛇭𛇥𛅲𛉥𛈰	8		1			
同住房间人四个同坐合唱好开心	𛊤𛇭𛋅𛆃𛅳𛈗𛆅𛊤𛇎𛈩𛋬𛆚𛇶𛇹	8		2		 	
突然发生非典病人人感觉好忧愁	𛆶𛈔𛆐𛇏𛆌𛉸𛈐𛅳𛅳𛊦𛉫𛆚𛇩𛊝	8		0			
每日消毒真难受头痛眼花不安然	𛉟𛇈𛈨𛋥𛆭𛈷𛉬𛇊𛋃𛋵𛈣𛆳𛊃𛈔	8		0			
出去游玩不方便时刻腰牌不离身	𛈚𛇂𛊢𛆧𛆳𛆠𛇙𛆸𛊙𛆱𛉆𛆳𛊎𛈛	8		0			
思想家中路途远如今回家十分难	𛊸𛊩𛉊𛈌𛋗𛆶𛋟𛇄𛆭𛇳𛉊𛅵𛆙𛈷	8		0			
每日打电三两次无法接通耐不何	𛉟𛇈𛋆𛋊𛆊𛅱𛇠𛇯𛊡𛋓𛆤𛉈𛆳𛇮	8		0			
左思右想心不静十二时辰挂在心	𛇍𛊸𛇁𛊩𛇹𛆳𛉽𛅵𛅱𛆸𛋙𛉌𛇥𛇹	8		0			
非典越来越严重同甘共苦在北京	𛆌𛉸𛋒𛇤𛋒𛋍𛊪𛊤𛇕𛈌𛇰𛇥𛇫𛋭	8		2			
预防非典可不怕生命安全身健康	𛇃𛋅𛆌𛉸𛆄𛆳𛇲𛇏𛈑𛊃𛈆𛈛𛇝𛉲	8		2			
万众一心团结起坚决战胜非典病	𛈄𛊪𛆼𛇹𛊤𛊐𛆻𛉿𛊐𛊪𛋐𛆌𛉸𛈐	8		2			
六月大暑最难当太阳如火水如汤	𛆜𛇃𛅻𛋱𛊶𛈷𛉰𛆎𛈿𛇄𛆕𛅸𛇄𛇔	9		0			
美女跨入花园内忙忙脱衣下池塘	𛋪𛆁𛊶𛅱𛈣𛆧𛆫𛇓𛇓𛊱𛈡𛅽𛋣𛊤	9		1			
衣裳挂于杨柳树轻轻打水点鸳鸯	𛆱𛈾𛋫𛆱𛈿𛇋𛋙𛊯𛊯𛋆𛅸𛉸𛊫𛊫	9		1			
一来点得鸳鸯转看见森树有人藏	𛅰𛇤𛉸𛋀𛊫𛊫𛇆𛆣𛇝𛇹𛋙𛈶𛅳𛈉	9		1			
美女忙忙捡衣裳捡起衣裳来穿起	𛋪𛆁𛇓𛇓𛊀𛆱𛈾𛊀𛆻𛆱𛈾𛇤𛊯𛆻	9		1			
层穿层拔有层装穿了衣裳来借问	𛋳𛊯𛋳𛇣𛈶𛋳𛈉𛊯𛅹𛆱𛈾𛇤𛊈𛉟	9		1			
借问哪洲哪县人家住何洲并何县	𛊈𛉟𛇾𛆝𛇾𛋟𛅳𛉊𛇭𛇮𛆝𛆦𛇮𛋟	9		1			
姓甚名谁住哪方范郎答言小姐道	𛉾𛋐𛇾𛉅𛇭𛇾𛆠𛋶𛊥𛋀𛈔𛅿𛈖𛋛	9		1			
小姐听我说言章家住别洲并别县	𛅿𛈖𛇜𛈻𛋶𛈔𛈌𛉊𛇭𛊎𛆝𛆦𛊎𛋟	9		1			
床前明月光疑是地上霜	𛈉𛋋𛇾𛇃𛇕𛊺𛆹𛊤𛆈𛈊	9		1			
举头望明月低头思故乡	𛆗𛇊𛈈𛇾𛇃𛅾𛇊𛊸𛉘𛉶	9		1			
白日依山尽黄河入海流	𛇪𛇈𛆱𛇏𛉑𛊨𛊕𛇄𛉝𛇋	9, 166		1			
欲穷千里目更上一层楼	𛇄𛊝𛆉𛉄𛇀𛉘𛆈𛆼𛋳𛈰	9, 166		2			
一巡买了三朵花我娘日我不当家	𛆼𛊶𛊊𛆒𛆊𛉸𛈣𛈻𛇘𛇈𛈻𛆳𛉰𛉊	22		0			
当得家来女没分女是浮萍水上花	𛉰𛋀𛉊𛇤𛆁𛆋𛆙𛆁𛆹𛊘𛇛𛅸𛆈𛈣	22		0			
一绣童子哈哈笑二绣鲤鱼鲤双双	𛆼𛋜𛊤𛆑𛇮𛇮𛅿𛅱𛋜𛉄𛊢𛉄𛈊𛈊	23		2			
三绣金鸡伸长尾四绣海底李三娘	𛆊𛋜𛆭𛋔𛈛𛈽𛊊𛈗𛋜𛉝𛋒𛉄𛆊𛇘	23		1			
五绣五子来行孝六绣神仙吕洞宾	𛈕𛋜𛈕𛆑𛇤𛇐𛉬𛆜𛋜𛋙𛇚𛆽𛆒𛋆	23		1			
七绣七仙七姐妹八绣观音坐玉莲	𛅲𛋜𛅲𛇚𛅲𛈖𛋉𛅴𛋜𛇕𛆱𛇎𛉚𛉹	23		1			
九绣韩湘子吹笛十绣梅良玉爱花	𛆆𛋜𛊨𛉵𛆑𛆪𛋮𛅵𛋜𛊬𛉴𛉚𛋨𛈣	23		1			
家和万事兴	𛉊𛇯𛈄𛅵𛈛	43		2			
谁家今夜扁舟子何处相思明月楼	𛉅𛉊𛆭𛇩𛆦𛆝𛆑𛇮𛈫𛉵𛊸𛇾𛇃𛈰	46		0			
可怜楼上月裴回应照离人妆镜台	𛆄𛇇𛈰𛆈𛇃𛉆𛇳𛊉𛉓𛊎𛅳𛈉𛇆𛅻	46		0			
玉户帘中卷不去捣衣砧上扶还来	𛉚𛆖𛉹𛈌𛉉𛆳𛇂𛇼𛈡𛆭𛆈𛇮𛇐𛇤	46		0			
此时相望不相闻愿逐月华流照君	𛇠𛆸𛉵𛈈𛆳𛉵𛇷𛋟𛇭𛇃𛇳𛇋𛉓𛊵	46		0			
鸿雁长飞光不度鱼龙潜跃水成文	𛉢𛊂𛈽𛆌𛇕𛆳𛋥𛊢𛉴𛋳𛆼𛅸𛈒𛆂	46		0			
昨夜闲潭梦落花可怜春半不还家	𛈱𛇩𛇐𛋠𛋪𛋝𛈣𛆄𛇇𛊌𛈺𛆳𛇐𛉊	46		0			
江水流春去欲尽江潭落月复西斜	𛈌𛅸𛇋𛊌𛇂𛇄𛈯𛈌𛋠𛋝𛇃𛋷𛈨𛊝	46		0			
斜月沉沉藏海雾碣石潇湘无限路	𛊝𛇃𛋳𛋳𛈉𛉝𛉍𛊐𛊍𛈨𛉵𛇯𛇐𛋗	46		0			
不知乘月几人归落月摇情满江树	𛆳𛆍𛋙𛇃𛆺𛅳𛈘𛋝𛇃𛊺𛊭𛋪𛈌𛋙	46		0			
春江潮水连海平海上明月共潮生	𛊌𛈌𛊻𛅸𛉹𛉝𛆦𛉝𛆈𛇾𛇃𛈌𛊻𛇏	47		2			
滟滟随波千万里何处春江无月明	𛈏𛈏𛉅𛉖𛆉𛈄𛉄𛇮𛈫𛊌𛈌𛇯𛇃𛇾	47		2			
江流宛转绕芳甸月照花林皆似霰	𛈌𛇋𛆨𛋺𛊺𛆠𛉸𛇃𛉓𛈣𛇇𛇧𛊝𛈊	47		2			
空里流霜不觉飞汀上白沙看不见	𛉲𛉄𛇋𛈊𛆳𛉫𛆌𛉼𛆈𛇪𛊾𛆣𛆳𛇝	47		1			
江天一色无纤尘皎皎空中孤月轮	𛈌𛆤𛆼𛇴𛇯𛆉𛊝𛆝𛆝𛉲𛈌𛋰𛇃𛉹	47		1			
江岸何人初见月江月何年初照人	𛈌𛈀𛇮𛅳𛊾𛇝𛇃𛈌𛇃𛇮𛆥𛊾𛉓𛅳	47		1			
人生代代无穷已江月年年望相似	𛅳𛇏𛅻𛅻𛇯𛊝𛆱𛈌𛇃𛆥𛆥𛈈𛉵𛊝	47		1			
松下问童子言师采药去	𛉵𛅽𛋆𛊤𛆑𛈔𛊸𛇦𛆱𛇂	48		1			
只在此山中云深不知处	𛈤𛇥𛇠𛇏𛈌𛉍𛈛𛆳𛆍𛈫	48		1			
山川之美古来共谈	𛇏𛊯𛆷𛋪𛇰𛇤𛈌𛊤	49		2			
高峰入云清流见底	𛋂𛆠𛇈𛉍𛊭𛇋𛇝𛋒	49		1			
两岸石壁五色交辉	𛆇𛈀𛊍𛉎𛈕𛇴𛆝𛆌	49		2			
青林翠竹四时俱备	𛊭𛇇𛇂𛊶𛈗𛆸𛋔𛊰	49		2			
晓雾将歇猿鸟乱鸣	𛆿𛉍𛈼𛊗𛉍𛋒𛋈𛇾	49		1			
夕日欲颓沉鳞竞跃	𛅿𛇈𛇄𛆶𛋳𛆳𛇆𛇩	49		1			
实是欲界之仙都	𛅵𛆹𛇄𛆄𛆷𛇚𛋗	49		2			
自康乐以来未复有能与其奇者	𛈤𛉲𛋧𛆱𛇤𛆨𛋷𛈶𛈷𛆱𛊻𛊻𛆆	49		2			
山不在高有仙则名	𛇏𛆳𛇥𛋂𛈶𛇚𛈤𛇾	50		2			
水不在深有龙则灵	𛅸𛆳𛇥𛈛𛈶𛉴𛈤𛉀	50		2			
斯是陋室惟吾德馨	𛊸𛆹𛋝𛊗𛊄𛇯𛋀𛉂	50		2			
苔痕上阶绿草色入帘青	𛅻𛇐𛆈𛉌𛆽𛉤𛇴𛅱𛊯𛊭	50		1			
谈笑有鸿儒往来无白丁	𛊤𛅿𛈶𛉢𛆱𛉚𛇤𛇯𛇪𛉼	50		2			
可以调素琴阅金经	𛆄𛆱𛉑𛉅𛊝𛇩𛆭𛉿	50		2			
